objectid,plazacode,plazaname,concessionairetype,plazatype,city,state,concessionairename,longitude,latitude
1599,330103,Gogunda,PF,National,Udaipur,Rajasthan,Udaipur Pathways,24.766166,73.523999
1600,370024,Namkhana Fee Toll Plaza,PF,National,Namkhana Village,West Bengal,NHAI,21.7501921,88.2365142
1601,320070,Bara Toll Plaza,PF,National,Haidergarh,Uttar Pradesh,NHAI,26.6294023,81.3329506
1602,320076,Asroga Toll Plaza,PF,National,Sultanpur,Uttar Pradesh,NHAI,26.301062,81.9459196
1603,330107,Methoon Toll Plaza,PF,National,Jhalawar,Rajasthan,NHAI,24.420109,76.503892
1604,345053,Milanpur Toll Plaza,PF,National,Betul,Madhya Pradesh,Oriental,21.8636943,77.9571605
1605,345055,Mehra Toll Plaza,PF,National,Gwalior,Madhya Pradesh,Path,26.197589,78.240691
1606,540015,ARAMBHA Toll Plaza,Conc.,State,Arambha,Maharashtra,ECA INFRASTRUCTURE INDIA,20.553225,78.971649
1607,330101,Mundiyar Toll Plaza,PF,National,Baran,Rajasthan,Jhansi Baran Pathways,25.208633,77.136056
1608,330102,Malera,PF,National,Sirohi,Rajasthan,Udaipur Pathways,24.712368,73.093755
1609,336019,Kathpur Toll Plaza,PF,National,Sabarkatha,Gujarat,NHAI,23.410181,72.828618
1610,536007,Bagodara Toll Plaza,PF,State,Ahmedabad,Gujarat,PWD Rajkot,22.6307,72.1793
1611,545008,Bilantri Toll Plaza,Conc.,State,Ujjain,Madhya Pradesh,M/s Suryawavshi Infrastructure,24.020435,75.290547
1612,540010,Vashi Toll Plaza,Conc.,State,Mumbai,Maharashtra,MEP Infrastructure Pvt Ltd,19.063952,72.980388
1613,545018,Ghoradongri Toll Plaza,Conc.,State,Narmadapuram,Madhya Pradesh,M/s DBL Betul-Sarni Tollways,22.125288,78.025027
1614,352042,Goshtani Gate Toll Plaza,PF,National,Vishakapatnam,Andhra Pradesh,NHAI,17.71386,83.212194
1615,349007,Chotiya Toll Plaza,PF,National,Korba,Chhattisgarh,NHAI,22.7662305,82.4799789
1616,545011,Hatta Toll Plaza,Conc.,State,Sagar,Madhya Pradesh,M/s DBL Hatta-dargoan Tollways,24.123109,79.55156
1617,320075,Kunwarpur,PF,National,Jaunpur,Uttar Pradesh,Vinayendranath Upadhyay,25.6727919,82.3158437
1618,350031,Komalla Fee Plaza,PF,National,Komalla (V),Telangana,NHAI,17.77737111,79.28361111
1619,380017,Barsoni Toll Plaza,PF,National,Purnia,Bihar,NHAI,25.804725,87.590748
1620,545012,Devkhedi Toll Plaza,Conc.,State,Gwalior,Madhya Pradesh,DBL Ashoknagar-Vidisha Tollway,24.516005,77.769897
1621,545013,Singhpur Toll Plaza,Conc.,State,Rewa,Madhya Pradesh,M/s DBL Uchera-Nagod Tollways,24.712917,80.585349
1622,360038,Salaipudur,PF,National,Thoothukudi,Tamil Nadu,Raima Toll Road(MEP),8.975702,77.774608
1623,380022,Bhagalpur Toll Plaza,PF,National,Bhagalpur,Bihar,NHAI,25.2322,87.0094
1624,536008,AMTL-TP-01 Vasna-Iyava,Conc.,State,Vasna-Iyava,Gujarat,L&T Ahmedabad-Maliya Tollway,23.0073,72.3477
1625,536009,AMTL-TP02-Malvan,Conc.,State,Malvan,Gujarat,L&T Ahmedabad-Maliya Tollway,23.0709,71.785
1626,536010,AMTL-TP03-Soldi,Conc.,State,Soldi,Gujarat,L&T Ahmedabad-Maliya Tollway,23.0009,71.3728
1627,340024,Bhamb Raja Toll Plaza,PF,National,Yavatmal,Maharashtra,NHAI,20.234893,78.017434
1628,326006,Bhagwanpur Toll Plaza,PF,National,Bhagwanpur,Uttarakhand,NHAI,29.931253,77.820383
1629,320079,Sayyad Mazra Toll Plaza,PF,National,Sayed Mazra,Uttar Pradesh,NHAI,30.00376,77.710907
